dialogueId,utteranceNo,authorRole,utterances,politeness,politeness_intensity,politeness_cause
5021,4,agent,"Greetings, <person name>. Please mere sath bani rahen; main yahan aapko assist karane ke lie hoon. Please kya aap mujhe apana issue explain karengi?",polite,3,"Greetings, Please, main yahan aapko assist karane ke lie hoon, Please kya aap "
5021,5,victim,main ek banker hoon jisane apana sara paisa kho diya hai. Please mujhe assist karen.,neutral,0,Please mujhe assist karen.
5021,6,agent,yah sunne men kafi discourage karane vala hai. kya main pooch sakata hoon ki aapne apani saving kaise loose kar di?,polite,3,kya main pooch sakata hoon
5021,7,victim,"jab last week Delhi men main apane pati se baat kar rahi thi, to unhone mera account information aur OTP manga aur phir mere sare paise le lie. baad men, mujhe pata chala ki vah ek con artist tha jisane mere pati ki ID hack karake unaki sari personal information chura li thi.",neutral,0,
5021,8,agent,main is baare men sun kar dukhi hoon. Please kya aap bata sakati hain ki aapko ye experience kab hua?,polite,3,Please kya aap bata sakati hain
5021,9,victim,"yah Thursday, October 17th, 2020 ko hua. ",neutral,0,
5021,10,agent,mujhe informe karane ke lie thank you. kya aap janti hai ki ye person kon hai jisane aapke sath ye kiya?,polite,3,"mujhe informe karane ke lie thank you, kya aap "
5021,11,victim,No way. vah puri tarah se jhutha tha.,impolite,3,
5021,12,agent,"Please patience banae rakhen; undoubtedly aapko assist kiya jaega. yadi aap aur jyada koi unusual activities dekhati hain to, please hume inform karen. ",polite,3,"Please patience banae rakhen, please hume inform karen. "
5021,13,victim,"No, usane bas inquiry ki thi, aur maine reply kiya tha. us samay, main jaldi men thi.",neutral,0,
5021,14,agent,kya aapne bank authorities ko is ghatana ke baare men bataya hai?,neutral,0,kya aapne
5021,15,victim,"Yes, lekin ve claim kar rahe hain ki aapne khud apana secret pin use diya tha.",neutral,0,
5021,16,agent,"main aapke financial setback ke lie dukhi hoon. Information Technology (Amendment) Act, 2008 ki dhara 66D  computer ya online resource ka use karake kisi anya vyakati ki jagah le kar dhokha dena illegal banati hai.",polite,3,
5021,17,victim,"So, main usake against retaliate karane ke lie kya kar sakati hoon? ",neutral,0,
5021,18,agent,"aapke pas legal action lene ka legal right hai, aur agar stalker guilty paya gaya, to use law ke according jurmana aur kaid kiya jaega. kya aap aage badhakar mukadama dayar karana chahati hain? ",polite,3,kya aap
5021,19,victim,"Yes, please mujhe aage badhane men assist karen.",polite,3,please
5021,20,agent,ye badhiya hai! Please mujhe bataen ki kya aap chahati hain ki is ghatana ki report Cyber Cell ya National Commission for Women ko ki jae.,polite,3,"Please mujhe bataen, kya aap "
5021,21,victim,main Cyber Cell men ek complaint file karna chahti hoon.,polite,3,
5021,22,agent,Please mujhe bataen ki aap online reporting prefer karengi ya offline.,polite,3,Please mujhe bataen ki aap
5021,23,victim,main internet par complaint file karana pasand karungi.,polite,3,
5021,24,agent,"ye badhiya hai! continue karane ke lie, www.cybercrime.gov.in par jaen aur and ""Report Other Cyber Crimes"" menu men se ""File a Complaint"" select karen, phir padhen aur anr declaration accept karen. ",polite,3,ye badhiya hai
5021,25,victim,bhut bhut dhanyvad.,polite,3,bhut bhut dhanyvad.
5021,26,agent,"yadi aapko kisi extra reporting assistance ki jarurat ho to, please mujhe bataen.",polite,3,please mujhe bataen
5021,27,victim,"Yes , please mere case ko report karane ke lie mujhe complete guidelines den.",polite,3,please
5021,28,agent,"ekbar jab aap declaration accept kar lete hain, to ""Report Other Cyber Crime"" par jaen aur complaint report karane ke lie log in karen.",neutral,0,
5021,29,victim,"Ok, bahut bahut dhanyvad.  ",polite,3,bahut bahut dhanyvad.
5021,30,agent,kya main reporting men further aapko assist kar sakata hoon?,polite,3,kya main reporting men further aapko assist kar sakata hoon?
5021,31,victim,kya mujhe complaint ka detailed process mil sakata hai?,polite,3,kya mujhe complaint ka detailed process mil sakata hai?
5021,32,agent,"login ke baad, please complaint ki appropriate category aur sub-category select karen aur incident , suspect aur complainant ka details den. Please apana application preview karen aur phir finally ise submit kar den.",polite,3,"please, Please apana "
5021,33,victim,"Ok , bahut bahut dhanyavad Rakshak . You are great .  ",polite,3,bahut bahut dhanyavad
5021,34,agent,appraisal ke lie bahut bahut dhanyvad. kya main kisi aur cheej men aapki help kar sakata hoon?,polite,3,appraisal ke lie bahut bahut dhanyvad
5021,35,victim,Nahi dhanyvad. Bye.,polite,3,dhanyvad
5021,36,agent,Rakshak aapko assist kar ke khus hai. aapke patience ke lie thank you. aapka din badhiya ho.,polite,3,aapke patience ke lie thank you aapka din badhiya ho.
5023,0,agent,Good evening from Rakshak ! aaj main aapki sahayata kaise kar sakata hoon?,polite,3,"Good evening from Rakshak, aaj main aapki sahayata kaise kar sakata hoon"
5023,1,victim,"Hello, please kya koi mujhe assist kar sakata hai?",polite,3,"Hello, please kya koi mujhe assist kar sakata hai?"
5023,2,agent,"Rakshak yahan aapko assist karne ke lie hai. Kya main aapka name aur age jan sakata hoon, Please? ",polite,3,"Kya main aapka name aur age jan sakata hoon, Please? "
5023,3,victim,main <person name> hoon aur main <person age> years old hoon.,neutral,0,
5023,4,agent,"Greetings, <person name>. Please mere sath bani rahen; main yahan aapko assist karane ke lie hoon. Please kya aap mujhe apana issue explain karengi?",polite,3,"Greetings, Please, Please kya aap "
5023,5,victim,main ek banker hoon jisane apana sara paisa kho diya hai. Please mujhe assist karen.,neutral,0,Please mujhe assist karen.
5023,6,agent,yah sunne men kafi discourage karane vala hai. kya main pooch sakata hoon ki aapne apani saving kaise loose kar di?,polite,3,kya main pooch sakata hoon
5023,7,victim,"jab last week Delhi men main apane pati se baat kar rahi thi, to unhone mera account information aur OTP manga aur phir mere sare paise le lie. baad men, mujhe pata chala ki vah ek con artist tha jisane mere pati ki ID hack karake unaki sari personal information chura li thi.",neutral,0,
5023,8,agent,main is baare men sun kar dukhi hoon. kya aap bata sakati hain ki aapko ye experience kab hua?,polite,3,kya aap
5023,9,victim,"yah Thursday, October 17th, 2020 ko hua. ",neutral,0,
5023,10,agent,mujhe batane ke lie thanks. kya aap janati hai ki yah persaon kon hai jisane aapke sath ye kiya?,polite,3,mujhe batane ke lie thanks. kya aap
5023,11,victim,No way. vah bahut bada fraud tha.,impolite,3,
5023,12,agent,"Please patience banae rakhen; undoubtedly aapko assist kiya jaega. yadi aap aur jyada koi unusual activities dekhati hain to, please hume inform karen. ",polite,3,"Please patience banae rakhen, please "
5023,13,victim,"No, usane bas inquiry ki thi, aur maine reply kiya tha. us samay, main jaldi men thi.",neutral,0,
5023,14,agent,kya aapne financial authorities ko is incident ke bare men inform kiya hai?,neutral,0,kya aapne
5023,15,victim,"Yes, lekin ve claim kar rahe hain ki aapne khud apana secret pin use diya tha.",neutral,0,
5023,16,agent,"main aapke financial setback ke lie dukhi hoon. Information Technology (Amendment) Act, 2008 ki dhara 66D  computer ya online resource ka use karake kisi anya vyakati ki jagah le kar dhokha dena illegal banati hai.",polite,3,
5023,17,victim,"So, main usake against retaliate karane ke lie kya kar sakati hoon? ",neutral,0,
5023,18,agent,"aapke pas legal action lene ka legal right hai, aur agar stalker guilty paya gaya, to use law ke according jurmana aur kaid kiya jaega. kya aap aage badhakar mukadama dayar karana chahati hain? ",polite,3,kya aap
5023,19,victim,"Yes, please mujhe aage badhane men assist karen.",polite,3,please
5023,20,agent,ye badhiya hai! Please mujhe bataen ki kya aap chahati hain ki is ghatana ki report Cyber Cell ya National Commission for Women ko ki jae.,polite,3,"Please mujhe bataen, kya aap "
5023,21,victim,kya NCW men complaint file karana possible hai?,polite,3,
5023,22,agent,Please mujhe bataen ki aap online reporting prefer karengi ya offline.,polite,3,Please mujhe bataen ki aap
5023,23,victim,kya mere lie mail ke through NCW headquarters ko complaint bhejana possible hai?,polite,3,
5023,24,agent,"Yes, please National Commission for Women, Plot No. 21 FC33, Jasola Institutional Area, New Delhi-110025, men supporting papers aur documentation yadi koi ho to ke sath ek written application bhejen.",polite,3,please
5023,25,victim,bhut bhut thank you.,polite,3,bahut bahut dhanyvad
5023,26,agent,kya mere lie NCW ke bache hue offline reporting process men aapko assist karana possible hai?,polite,3,
5023,27,victim,please kya aap mujhe koi phone number provide karenge jahase se mujhe koi additional information mil sake?,polite,3,please kya aap mujhe koi phone number provide karenge
5023,28,agent,"Of course, agar aapko complaints-related koi bhi questions karne hain to please 011-26944880 ya 26944883 par call karen. ",polite,3,please
5023,29,victim,"Okay, abhi mujhe bas yahi kahana hai.",polite,3,
5023,30,agent,Please mujhe bataiye ki kya kuch aur hai jo main aapke lie kar sakta hoon.,polite,3,Please mujhe bataiye
5023,31,victim,bhut bhut thank you.,polite,3,bahut bahut dhanyvad
5023,32,agent,Rakshak se contact karane ke lie thank you. latest cybercrime news aur cyber-safety advice par teji se bane rahane ke lie Please https://twitter.com ko follow karen. Cyberdost ek aisa shabd hai jisake kai alag alag arth hain.,polite,3,"Rakshak se contact karane ke lie thank you, Please "
5024,0,agent,Rakshak ka namaskar. aaj main aapki help kaise kar sakta hoon?,polite,3,"Rakshak ka namaskar, aaj main aapki help kaise kar sakta hoon?"
5024,1,victim,"Hello, mujhe assistance ki bahut jarurat hai.",neutral,0,"Hello, mujhe assistance ki bahut jarurat hai."
5024,2,agent,bina kisi sandeh ke Raksak aapko assist karega. Please mujhe apana full name and age bataen.,polite,3,Please mujhe apana full name and age bataen.
5024,3,victim,<person name> aur <person age> mera nam aur age hai.,neutral,0,
5024,4,agent,"namaste, person name>. please kya aap mujhe apani problem explain karenge?",polite,3,"namaste, please kya aap "
5024,5,victim,main ek prestigious office men kam karati hoon aur abhi mujhe gande email aur morph photos mil rahi hain. main isse thak gaya hoon aur nahi janti ki isake baare men kya karoon.,impolite,3,
5024,6,agent,"main is baare men sunkar dukhi hoon. Please darie nahi, aap akeli nahi hain. agar aap hume bata saken ki aapko kon dhamaki de raha. to bahut badhiya rahega.",polite,3,"Please darie nahi, aap akeli nahi hain, agar aap "
5024,7,victim,"mujhe koi idea nahi hai ki vah jerk kon hai, lekin main bahut dari hui hoon ki vah aisi pictures bhejane ke lie ek unknown email address ka use kar raha hai.",neutral,0,jerk
5024,8,agent,main samajhata hoon ki aap ek difficult period se gujar rahi hain; please sahasi banie. Please kya aap mujhe bataengi ki aapko ye emails kab se milana shuru hua?,polite,3,"main samajhata hoon ki aap ek difficult period se gujar rahi hain, please sahasi banie, Please kya aap "
5024,9,victim,yah email mujhe last four days se bheja ja raha hai.,neutral,0,
5024,10,agent,yah sach men bahut helpful hoga yadi aap mujhe vo email programme bata sakati hai jisaka use aap kar rahi hain taki main aapki behatar tarike se sahayata kar sakoon.,polite,3,yah sach men bahut helpful hoga yadi aap
5024,11,victim,"abhi, main Gmail use kar rahi hoon. ",neutral,0,
5024,12,agent,ye badhiya hai! main curious hoon ki aapne Gmail pe strange emails ki report ki?,polite,3,ye badhiya hai!
5024,13,victim,"Yes, lekin is baar vah alag address se email bheja raha hai.",neutral,0,
5024,14,agent,yah sunne men kafi discouraging hai. Please mujhe bataen yadi aapko koi clue hai ki isake lie kon responsible hai.,polite,3,Please
5024,15,victim,"No, mujhe samajh nahin aa raha hai ki mere sath aisa kon kar raha hai.",neutral,0,
5024,16,agent,Please dare nahin; Rakshak aapke sath hai. main aapka dhyan is fact ki taraf khichana chahata hoon ki ye ek masquerading ka case hai. Information Technology (Amendment) Act 2008 ki dhara 66D computer or online resource ka use karake koi aur ban ke dhokha dena illegal banati hai.,polite,3,Please dare nahin
5024,17,victim,information ke lie thank you. maiN us unknown individual ke against complaint file kaise kar sakti hooN?,polite,3,information ke lie thank you.
5024,18,agent,"main aapko advise dunga ki aap retaliate karane se bachen aur patience rakhen. is ghatana ko national cybercrime reporting system, cyber cell, aur/ya National Commission for Women men report kiya ja sakata hai.",polite,3,
5024,19,victim,information ke lie thank you. Let me talk to my family about it.,polite,3,information ke lie thank you
5024,20,agent,"Sure, apana samay len aur vivek se kam len. Rakshak yahan 24 hours, 7 days a week aapki help ke lie hai.",polite,3,
5024,21,victim,bhut bhut thank you.,polite,3,bahut bahut dhanyvad
5024,22,agent,Please mujhe bataiye ki kya kuch aur hai jo main aapke lie kar sakta hoon.,polite,3,Please mujhe bataiye ki kya kuch aur hai jo main aapke lie kar sakta hoon
5024,23,victim,"Nahi, thank you. Goodbye. ",polite,3,thank you
5024,24,agent,"Rakshak se touch men bane rahane ke lie thank you. agar aapko aur assistance chahie, to please contact karane men hesitate na karen.",polite,3,please
5025,0,agent,Rakshak ka namaskar. aaj main aapki help kaise kar sakta hoon?,polite,3,"Rakshak ka namaskar, aaj main aapki help kaise kar sakta hoon"
5025,1,victim,"Hello, mujhe assistance ki bahut jarurat hai.",neutral,0,"Hello, mujhe assistance ki bahut jarurat hai"
5025,2,agent,"Rakshak undoubtedly aapko assist karega. kya main aapka good name aur age jaan sakata hoon, please? ",polite,3,"kya main aapka good name aur age jaan sakata hoon, please? "
5025,3,victim,<person name> aur <person age> mera nam aur age hai.,neutral,0,
5025,4,agent,"namaskar, <person name>. Please kya aap mujhe apani problem explain karengi? ",polite,3,"namaskar, Please kya aap "
5025,5,victim,main ek prestigious office men kam karati hoon aur abhi mujhe gande email aur morph photos mil rahi hain. main isse thak gaya hoon aur nahi janti ki isake baare men kya karoon.,impolite,3,
5025,6,agent,"main is baare men sunkar dukhi hoon. Please darie nahi, aap akeli nahi hain. agar aap hume bata saken ki aapko kon dhamaki de raha. to bahut badhiya rahega.",polite,3,"Please darie nahi, aap akeli nahi hain"
5025,7,victim,"mujhe koi idea nahi hai ki vah jerk kon hai, lekin main bahut dari hui hoon ki vah aisi pictures bhejane ke lie ek unknown email address ka use kar raha hai.",neutral,0,jerk
5025,8,agent,main samajhata hoon ki aap ek difficult period se gujar rahi hain; please sahasi banie. Please kya aap mujhe bataengi ki aapko ye emails kab se milana shuru hua?,polite,3,"main samajhata hoon ki aap ek difficult period se gujar rahi hain, please sahasi banie, Please kya aap "
5025,9,victim,yah email mujhe last four days se bheja ja raha hai.,neutral,0,
5025,10,agent,yah sach men bahut helpful hoga yadi aap mujhe vo email programme bata sakati hai jisaka use aap kar rahi hain taki main aapki behatar tarike se sahayata kar sakoon.,polite,3,yah sach men bahut helpful hoga yadi aap
5025,11,victim,"abhi, main Gmail use kar rahi hoon. ",neutral,0,"abhi, main Gmail use kar rahi hoon. "
5025,12,agent,ye badhiya hai! main curious hoon ki aapne Gmail pe strange emails ki report ki?,polite,3,ye badhiya hai!
5025,13,victim,"Yes, lekin is baar vah alag address se email bheja raha hai.",neutral,0,
5025,14,agent,yah sunne men kafi discouraging hai. Please mujhe bataen yadi aapko koi clue hai ki isake lie kon responsible hai.,polite,3,Please mujhe bataen
5025,15,victim,"No, mujhe samajh nahin aa raha hai ki mere sath aisa kon kar raha hai.",neutral,0,
5025,16,agent,Please dare nahin; Rakshak aapke sath hai. main aapka dhyan is fact ki taraf khichana chahata hoon ki ye ek masquerading ka case hai. Information Technology (Amendment) Act 2008 ki dhara 66D computer or online resource ka use karake koi aur ban ke dhokha dena illegal banati hai.,polite,3,Please dare nahin
5025,17,victim,information ke lie thank you. maiN us unknown individual ke against complaint file kaise kar sakti hooN?,polite,3,information ke lie thank you
5025,18,agent,"main aapko advise dunga ki aap retaliate karane se bachen aur patience rakhen. is ghatana ko national cybercrime reporting system, cyber cell, aur/ya National Commission for Women men report kiya ja sakata hai.",polite,3,
5025,19,victim,maine usake against formal complaint file karane ka socha hai.,neutral,0,
5025,20,agent,"hum aapke decision ke abhari hain. Please mujhe bataen ki kya aap national cybercrime reporting system, cyber cell, ya National Commission for Women ke pas complaint file karana chahati hain.    ",polite,3,Please mujhe bataen ki kya aap
5025,21,victim,"Yes, main usake against cybercrime men complaint file karana chahati hoon.",neutral,0,
5025,22,agent,kya aap cybercrime ki report National Cybercrime Reporting Portal par karana chahati hain?,polite,3,kya aap
5025,23,victim,Please.,polite,3,Please.
5025,24,agent,"Yes, please National Cyber Crime Reporting Portal www.cybercrime.gov.in, par apani complaint online register karen. agar main poori peporting  process men aapki madad kar saka to yah behtareen hoga.",polite,3,please
5025,25,victim,yah information provide karane ke lie thank you. please kya aap mujhe vah sari information provide kar sakati hain jo mujhe is online form ko fill karane ke lie chahie?,polite,3,please kya aap
5025,26,agent,"Definitely, link open karane ke baad, ""Report other cyber crime"" par click karen aur phir ""File a complaint"" par click karen aur continue karane ke lie declaration ko accept karen.",polite,3,Definitely
5025,27,victim,in-depth information ke lie bahut bahut dhanyvad.,polite,3,in-depth information ke lie bahut bahut dhanyvad.
5025,28,agent,aisa karana mere lie khushi ki baat hai. agar main aapke lie kuch aur kar sakata hoon to please mujhe bataen.,polite,3,
5025,29,victim,"No, main pata lagaungi ki baaki ko kaise pura kiya jae.",neutral,0,
5025,30,agent,"Rakshak se touch men bane rahane ke lie thank you. agar aapko aur assistance chahie, to please contact karane men hesitate na karen.",polite,3,please
5026,0,agent,Rakshak ka namaskar. aaj main aapki help kaise kar sakta hoon?,polite,3,Rakshak ka namaskar. aaj main aapki help kaise kar sakta hoon?
5026,1,victim,"Hello, mujhe assistance ki bahut jarurat hai.",neutral,0,"Hello, mujhe assistance ki bahut jarurat hai."
5026,2,agent,bina kisi sandeh ke Raksak aapko assist karega. Please mujhe apana full name and age bataen.,polite,3,Please mujhe apana full name and age bataen.
5026,3,victim,<person name> aur <person age> mera nam aur age hai.,neutral,0,
5026,4,agent,"namaste, person name>. please kya aap mujhe apani problem explain karenge?",polite,3,"namaste, please kya aap "
5026,5,victim,main ek prestigious office men kam karati hoon aur abhi mujhe gande email aur morph photos mil rahi hain. main isse thak gaya hoon aur nahi janti ki isake baare men kya karoon.,impolite,3,
5026,6,agent,"main is baare men sunkar dukhi hoon. Please darie nahi, aap akeli nahi hain. agar aap hume bata saken ki aapko kon dhamaki de raha. to bahut badhiya rahega.",polite,3,"Please darie nahi, aap akeli nahi hain. "
5026,7,victim,"mujhe koi idea nahi hai ki vah jerk kon hai, lekin main bahut dari hui hoon ki vah aisi pictures bhejane ke lie ek unknown email address ka use kar raha hai.",neutral,0,jerk
5026,8,agent,"main samajhata hoon ki aap ek kathin daur se gujar rahi hain, please courageous banen. Please kya aap mujhe bata sakati hain ki aapko aise email kab se mil rahe hain?",polite,3,"main samajhata hoon ki aap ek kathin daur se gujar rahi hain, please, Please kya aap "
5026,9,victim,yah email mujhe last four days se bheja ja raha hai.,neutral,0,
5026,10,agent,yah sach men bahut helpful hoga yadi aap mujhe vo email programme bata sakati hai jisaka use aap kar rahi hain taki main aapki behatar tarike se sahayata kar sakoon.,polite,3,yah sach men bahut helpful hoga yadi aap
5026,11,victim,"abhi, main Gmail use kar rahi hoon. ",neutral,0,"abhi, main Gmail use kar rahi hoon. "
5026,12,agent,ye badhiya hai! main curious hoon ki aapne Gmail pe strange emails ki report ki?,polite,3,ye badhiya hai
5026,13,victim,"Yes, lekin is baar vah alag address se email bheja raha hai.",neutral,0,"Yes, lekin is baar vah alag address se email bheja raha hai."
5026,14,agent,yah sunne men kafi discouraging hai. Please mujhe bataen yadi aapko koi clue hai ki isake lie kon responsible hai.,polite,3,Please
5026,15,victim,"No, mujhe samajh nahin aa raha hai ki mere sath aisa kon kar raha hai.",neutral,0,
5026,16,agent,Please dare nahin; Rakshak aapke sath hai. main aapka dhyan is fact ki taraf khichana chahata hoon ki ye ek masquerading ka case hai. Information Technology (Amendment) Act 2008 ki dhara 66D computer or online resource ka use karake koi aur ban ke dhokha dena illegal banati hai.,polite,3,Please dare nahin
5026,17,victim,information ke lie thank you. maiN us unknown individual ke against complaint file kaise kar sakti hooN?,polite,3,information ke lie thank you.
5026,18,agent,"main suggest karunga ki please retaliate na karen aur patience banae rakhen. is event ki report national cybercrime reporting system, cyber cell, aur/ya National Commission for Women ko ki ja sakati hai.",polite,3,please
5026,19,victim,"Yes, main usake against cybercrime men complaint file karana chahati hoon.",neutral,0,
5026,20,agent,kya aap cybercrime ki report National Cybercrime Reporting Portal par karana chahati hain?,polite,3,kya aap
5026,21,victim,Please.,polite,3,Please.
5026,22,agent,"Yes, please National Cyber Crime Reporting Portal www.cybercrime.gov.in, par apani complaint online register karen. agar main poori peporting  process men aapki madad kar saka to yah behtareen hoga.",polite,3,please
5026,23,victim,yah information provide karane ke lie thank you. kya mujhe is online form ko fill karane ke lie complete detail mil sakati hai?,polite,3,yah information provide karane ke lie thank you.
5026,24,agent,"Definitely, link open karane ke baad, ""Report other cyber crime"" par click karen aur phir ""File a complaint"" par click karen aur continue karane ke lie declaration ko accept karen.",polite,3,Definitely
5026,25,victim,kya aap possibly cybercrime portal ke baare men mere kuch additional questions ka answer de sakati hain?,polite,3,kya aap
5026,26,agent,Please agar aapke pas koi questions hai to bejhijhak ho kar puchen.,polite,3,Please agar aapke pas koi questions hai to bejhijhak ho kar puchen
5026,27,victim,kya koi information upload kie bina complaint file karna possible hai?,neutral,0,kya koi information upload kie bina complaint file karna possible hai
5026,28,agent,maine propose kiya ki aap complaint ke regarding jyada se jyada information den taki isaki janch kar rahi police authorities uchit aur sahi samay par action le sake.,polite,3,aap
5026,29,victim,"bahut bahut dhanyvad, main kaise pata laga sakati hoon ki meri complaint kaise progress kar rahi hai?",polite,3,bahut bahut dhanyvad
5026,30,agent,"yadi aapne portal ke ""Report and Track"" option ya ""Report Other Cybercrime"" part ke through apani complaint submit ki hai to aapko mile hue acknowledgement number ka use kar ke apane progress ko monitor kar sakengi.",neutral,0,
5026,31,victim,dhanyvad.,polite,3,dhanyvad.
5026,32,agent,Please mujhe bataiye ki kya kuch aur hai jo main aapke lie kar sakta hoon.,polite,3,Please mujhe bataiye ki kya kuch aur hai jo main aapke lie kar sakta hoon.
5026,33,victim,"Nahi, thank you. Goodbye. ",polite,3,thank you
5026,34,agent,"mujhe khusi hai ki main assist kar saka. agar aap aur sahayata chahati hain, to please Rakshak se contact karane men hesitate na karen.",polite,3,"mujhe khusi hai ki main assist kar saka, please "
5027,0,agent,Rakshak ka namaskar. aaj main aapki help kaise kar sakta hoon?,polite,3,Rakshak ka namaskar. aaj main aapki help kaise kar sakta hoon?
5027,1,victim,"Hello, mujhe assistance ki bahut jarurat hai.",neutral,0,"Hello, mujhe assistance ki bahut jarurat hai."
5027,2,agent,bina kisi sandeh ke Raksak aapko assist karega. Please mujhe apana full name and age bataen.,polite,3,Please mujhe apana full name and age bataen.
5027,3,victim,<person name> aur <person age> mera nam aur age hai.,neutral,0,
5027,4,agent,"namaste, person name>. please kya aap mujhe apani problem explain karenge?",polite,3,"namaste, please kya aap "
5027,5,victim,main ek prestigious office men kam karati hoon aur abhi mujhe gande email aur morph photos mil rahi hain. main isse thak gaya hoon aur nahi janti ki isake baare men kya karoon.,impolite,2,
5027,6,agent,"main is baare men sunkar dukhi hoon. Please darie nahi, aap akeli nahi hain. agar aap hume bata saken ki aapko kon dhamaki de raha. to bahut badhiya rahega.",polite,3,"Please darie nahi, aap akeli nahi hain. "
5027,7,victim,"mujhe koi idea nahi hai ki vah jerk kon hai, lekin main bahut dari hui hoon ki vah aisi pictures bhejane ke lie ek unknown email address ka use kar raha hai.",neutral,0,jerk
5027,8,agent,main samajhata hoon ki aap ek difficult period se gujar rahi hain; please sahasi banie. Please kya aap mujhe bataengi ki aapko ye emails kab se milana shuru hua?,polite,3,"main samajhata hoon ki aap ek difficult period se gujar rahi hain, please sahasi banie, Please kya aap "
5027,9,victim,yah email mujhe last four days se bheja ja raha hai.,neutral,0,
5027,10,agent,yah sach men bahut helpful hoga yadi aap mujhe vo email programme bata sakati hai jisaka use aap kar rahi hain taki main aapki behatar tarike se sahayata kar sakoon.,polite,3,yah sach men bahut helpful hoga yadi aap
5027,11,victim,"abhi, main Gmail use kar rahi hoon. ",neutral,0,
